"Source:","E:\Alembic F2b\Alembic_F2b_bass_preamp\Alembic_F2b_bass_preamp.sch"
"Date:","04/12/2020 22:23:16"
"Tool:","Eeschema (5.1.8)-1"
"Generator:","E:\Programs\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","45"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Links","Power"
"","","Bass1","A250K","Device:R_POT","","~","https://www.tube-town.net/ttstore/potentiometer-bourns-250k-log-hrt.html",""
"","","C1","47µF 50V","Device:CP","","~","https://www.tube-town.net/ttstore/elektrolyt-47-f-63-volt.html",""
"","","C2","47µF 50V","Device:CP","","~","https://www.tube-town.net/ttstore/elektrolyt-47-f-63-volt.html",""
"","","C3","100nF 350V","Device:C","","~","https://www.tube-town.net/ttstore/mallory-150-s-0-1-f-630-vdc.html",""
"","","C5","470pF 50V","Device:C","","~","https://www.tube-town.net/ttstore/ceramic-disk-capacitor-470-pf-2-kv.html",""
"","","C6","100nF 50V","Device:C","","~","https://www.tube-town.net/ttstore/mallory-150-s-0-1-f-630-vdc.html",""
"","","C7","47nF 50V","Device:C","","~","https://www.tube-town.net/ttstore/sozo-blue-molded-0-047-f-500-v.html",""
"","","C8","220pF 50V","Device:C","","~","https://www.tube-town.net/ttstore/ceramic-disk-capacitor-220-pf-2-kv.html",""
"","","C9","100nF 350V","Device:C","","~","https://www.tube-town.net/ttstore/mallory-150-s-0-1-f-630-vdc.html",""
"","","C10","100nF 350V","Device:C","","~","https://www.tube-town.net/ttstore/mallory-150-s-0-1-f-630-vdc.html",""
"","","C11","100nF 350V","Device:C","","~","https://www.tube-town.net/ttstore/mallory-150-s-0-1-f-630-vdc.html",""
"","","C100","100nF 50V","Device:C","","~","https://www.tube-town.net/ttstore/mallory-150-s-0-1-f-630-vdc.html",""
"","","C101","220nF 50V","Device:C","","~","https://www.tube-town.net/ttstore/tubular-film-capacitor-0-22-f-630-v.html",""
"","","C200","100nF 50V","Device:C","","~","https://www.tube-town.net/ttstore/tubular-film-capacitor-0-1-f-630-v.html",""
"","","Gain1.1","A1M DPDT","Device:R_POT","","~","https://www.tube-town.net/ttstore/alpha-potentiometer-1-mohm-log-16-mm-dpdt-push-pull.html",""
"","","Gain1.2","Passive/Active","Switch:SW_SPST","","~","Idem as Gain1.1",""
"","","J1","Line in","Connector:AudioJack2","","~","https://www.tube-town.net/ttstore/cliff-6-3-mono-switched-jack.html",""
"","","J2","Line out","Connector:AudioJack2","","~","https://www.tube-town.net/ttstore/cliff-6-3-mono-switched-jack.html",""
"","","L1","100µH","pspice:INDUCTOR","","~","https://www.tube-town.net/ttstore/fixed-inductors-100-h.html",""
"","","LED1","On/Off","Device:LED","","~","https://www.tube-town.net/ttstore/led-5-mm-yellow.html",""
"","","LED2","Bright","Device:LED","","~","https://www.tube-town.net/ttstore/led-5-mm-yellow.html",""
"","","Midrange1","A50K","Device:R_POT","","~","https://www.tube-town.net/ttstore/potentiometer-bourns-50k-log-hrt.html",""
"","","Q1","IRF740","Transistor_FET:IRF740","Package_TO_SOT_THT:TO-220-3_Vertical","","https://www.tube-town.net/ttstore/power-mosfet-irf740.html",""
"","","R1","1.5K 0.5W","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-1-5k-1-watt.html",""
"","","R2","1.5K 0.5W","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-1-5k-1-watt.html",""
"","","R3","100K 1W","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-100k-1-watt.html","1W"
"","","R4","100K 1W","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-100k-1-watt.html","1W"
"","","R5","68K","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-68k-1-watt.html",""
"","","R6","68K","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-68k-1-watt.html",""
"","","R7","1M","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-1m-1-watt.html",""
"","","R8","2.2M","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-2-2m-1-watt.html",""
"","","R9","2.2M","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-2-2m-1-watt.html",""
"","","R10","2.2M","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-2-2m-1-watt.html",""
"","","R11","100K 1W","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-100k-1-watt.html","1W"
"","","R100","4.7K","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-4-7k-1-watt.html",""
"","","R101","4.7K","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-4-7k-1-watt.html",""
"","","R200","1M","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-1m-1-watt.html",""
"","","SW1","On/Off","Switch:SW_DPDT_x2","","","https://www.tube-town.net/ttstore/alpha-footswitch-3pdt-latching.html",""
"","","SW1bis1","On/Off","Switch:SW_SPST","","~","Idem as SW1",""
"","","SW3","Bright","Switch:SW_DPST_x2","","","https://www.tube-town.net/ttstore/alpha-footswitch-2-position-dpdt-on-on.html",""
"","","Sweep1","B100K","Device:R_POT","","~","https://www.tube-town.net/ttstore/potentiometer-bourns-100k-lin-hrt.html",""
"","","Treble1","A250K","Device:R_POT","","","https://www.tube-town.net/ttstore/potentiometer-bourns-250k-log-hrt.html",""
"","","V1","ECC83","Valve:ECC83","Valve:Valve_Noval_P","","https://www.tube-town.net/ttstore/jj-12ax7-ecc83s.html",""
"","","Volume1","A500K","Device:R_POT","","~","https://www.tube-town.net/ttstore/potentiometer-bourns-500k-log-hrt.html",""
"","","VPump1","TT VPump +220VDC 15mA","Regulator_Switching:TMR_1-1213","Converter_DCDC:Converter_DCDC_TRACO_TMR-1-xxxx_Single_THT","","https://www.tube-town.net/ttstore/tt-vpump-voltage-converter.html",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Links","Power"
"1","2","Bass1, Treble1","A250K","Device:R_POT","","~","https://www.tube-town.net/ttstore/potentiometer-bourns-250k-log-hrt.html",""
"2","2","C1, C2","47µF 50V","Device:CP","","~","https://www.tube-town.net/ttstore/elektrolyt-47-f-63-volt.html",""
"3","4","C3, C9, C10, C11","100nF 350V","Device:C","","~","https://www.tube-town.net/ttstore/mallory-150-s-0-1-f-630-vdc.html",""
"4","1","C5","470pF 50V","Device:C","","~","https://www.tube-town.net/ttstore/ceramic-disk-capacitor-470-pf-2-kv.html",""
"5","3","C6, C100, C200","100nF 50V","Device:C","","~","https://www.tube-town.net/ttstore/mallory-150-s-0-1-f-630-vdc.html",""
"6","1","C7","47nF 50V","Device:C","","~","https://www.tube-town.net/ttstore/sozo-blue-molded-0-047-f-500-v.html",""
"7","1","C8","220pF 50V","Device:C","","~","https://www.tube-town.net/ttstore/ceramic-disk-capacitor-220-pf-2-kv.html",""
"8","1","C101","220nF 50V","Device:C","","~","https://www.tube-town.net/ttstore/tubular-film-capacitor-0-22-f-630-v.html",""
"9","1","Gain1.1","A1M DPDT","Device:R_POT","","~","https://www.tube-town.net/ttstore/alpha-potentiometer-1-mohm-log-16-mm-dpdt-push-pull.html",""
"10","1","Gain1.2","Passive/Active","Switch:SW_SPST","","~","Idem as Gain1.1",""
"11","1","J1","Line in","Connector:AudioJack2","","~","https://www.tube-town.net/ttstore/cliff-6-3-mono-switched-jack.html",""
"12","1","J2","Line out","Connector:AudioJack2","","~","https://www.tube-town.net/ttstore/cliff-6-3-mono-switched-jack.html",""
"13","1","L1","100µH","pspice:INDUCTOR","","~","https://www.tube-town.net/ttstore/fixed-inductors-100-h.html",""
"14","1","LED1","On/Off","Device:LED","","~","https://www.tube-town.net/ttstore/led-5-mm-yellow.html",""
"15","1","LED2","Bright","Device:LED","","~","https://www.tube-town.net/ttstore/led-5-mm-yellow.html",""
"16","1","Midrange1","A50K","Device:R_POT","","~","https://www.tube-town.net/ttstore/potentiometer-bourns-50k-log-hrt.html",""
"17","1","Q1","IRF740","Transistor_FET:IRF740","Package_TO_SOT_THT:TO-220-3_Vertical","","https://www.tube-town.net/ttstore/power-mosfet-irf740.html",""
"18","2","R1, R2","1.5K 0.5W","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-1-5k-1-watt.html",""
"19","3","R3, R4, R11","100K 1W","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-100k-1-watt.html","1W"
"20","2","R5, R6","68K","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-68k-1-watt.html",""
"21","2","R7, R200","1M","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-1m-1-watt.html",""
"22","3","R8, R9, R10","2.2M","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-2-2m-1-watt.html",""
"23","2","R100, R101","4.7K","Device:R","","~","https://www.tube-town.net/ttstore/xicon-carbon-film-resistor-4-7k-1-watt.html",""
"24","1","SW1","On/Off","Switch:SW_DPDT_x2","","","https://www.tube-town.net/ttstore/alpha-footswitch-3pdt-latching.html",""
"25","1","SW1bis1","On/Off","Switch:SW_SPST","","~","Idem as SW1",""
"26","1","SW3","Bright","Switch:SW_DPST_x2","","","https://www.tube-town.net/ttstore/alpha-footswitch-2-position-dpdt-on-on.html",""
"27","1","Sweep1","B100K","Device:R_POT","","~","https://www.tube-town.net/ttstore/potentiometer-bourns-100k-lin-hrt.html",""
"28","1","V1","ECC83","Valve:ECC83","Valve:Valve_Noval_P","","https://www.tube-town.net/ttstore/jj-12ax7-ecc83s.html",""
"29","1","Volume1","A500K","Device:R_POT","","~","https://www.tube-town.net/ttstore/potentiometer-bourns-500k-log-hrt.html",""
"30","1","VPump1","TT VPump +220VDC 15mA","Regulator_Switching:TMR_1-1213","Converter_DCDC:Converter_DCDC_TRACO_TMR-1-xxxx_Single_THT","","https://www.tube-town.net/ttstore/tt-vpump-voltage-converter.html",""
